donor,recipient,purpose,net
United States,Korea,air transport,5260158081
United States,Brazil,air transport,3456194517
United States,Saudi Arabia,air transport,3423114025
Japan,Thailand,air transport,2648319527
United States,India,air transport,2273859378
United States,Thailand,air transport,1378790278
United States,South Africa,air transport,840454769
United States,Poland,air transport,815085967
United States,Chile,air transport,777158312
United Kingdom,India,air transport,226060281
United States,Colombia,air transport,221288646
France,India,air transport,93048552
France,Colombia,air transport,19509180
Germany,Colombia,air transport,15829434
Canada,India,air transport,14224407
Italy,Colombia,air transport,12425310
Spain,India,air transport,6797785
United Kingdom,Poland,air transport,2702617
France,South Africa,air transport,2331311
Norway,India,air transport,2316419
Canada,Poland,air transport,1476778
France,Chile,air transport,859097
Netherlands,India,air transport,704628
France,Thailand,air transport,638493
Spain,Colombia,air transport,470750
Canada,Thailand,air transport,443224
Sweden,Poland,air transport,250129
Spain,Brazil,air transport,140677
Belgium,Thailand,air transport,125252
Japan,Brazil,air transport,100165
Australia,Thailand,air transport,75135
Norway,Thailand,air transport,60502
Korea,Thailand,air transport,52335
Korea,Chile,air transport,28586
Spain,Chile,air transport,20706
Norway,South Africa,air transport,13527
France,Poland,air transport,10316
Japan,Colombia,air transport,23
Japan,India,industrial development,2540561929
United States,Brazil,industrial development,1785108528
Germany,India,industrial development,1768993054
United States,Thailand,industrial development,1460262364
Japan,Thailand,industrial development,1348021971
United States,India,industrial development,1295117393
United States,Korea,industrial development,866792664
United States,Colombia,industrial development,789030171
France,India,industrial development,736412685
United States,Chile,industrial development,675643062
United States,Poland,industrial development,548534715
Japan,Korea,industrial development,508053866
Japan,Brazil,industrial development,301942282
United States,Kuwait,industrial development,278059881
Italy,India,industrial development,254284699
United States,Saudi Arabia,industrial development,254167658
Japan,Saudi Arabia,industrial development,222224525
Germany,Thailand,industrial development,166368356
Norway,India,industrial development,160646315
Denmark,India,industrial development,160372258
United Kingdom,India,industrial development,141881911
Kuwait,India,industrial development,131175647
United Kingdom,Thailand,industrial development,123175026
Germany,Brazil,industrial development,82355164
Switzerland,India,industrial development,76369785
Germany,Korea,industrial development,75072695
Canada,Thailand,industrial development,70008809
Finland,Thailand,industrial development,58111179
Canada,India,industrial development,54685827
Germany,Colombia,industrial development,53036463
Netherlands,India,industrial development,50767936
United Kingdom,Poland,industrial development,42787511
United Kingdom,Brazil,industrial development,39174808
Finland,India,industrial development,31746338
Canada,Brazil,industrial development,29748658
United Kingdom,South Africa,industrial development,29567081
France,Korea,industrial development,28328996
Canada,South Africa,industrial development,26700909
Australia,India,industrial development,24434534
France,Thailand,industrial development,23981834
Canada,Colombia,industrial development,23245209
Canada,Chile,industrial development,18676468
Norway,South Africa,industrial development,15424548
Netherlands,Thailand,industrial development,13813129
Sweden,Thailand,industrial development,13259316
Sweden,India,industrial development,12572753
Germany,Chile,industrial development,12253925
France,Colombia,industrial development,11935741
United States,South Africa,industrial development,9681699
Italy,Colombia,industrial development,8956908
Denmark,Thailand,industrial development,7334447
Austria,India,industrial development,7202447
Finland,Poland,industrial development,6313047
Norway,Thailand,industrial development,6304303
Italy,Poland,industrial development,5914647
Japan,Chile,industrial development,5379848
France,Poland,industrial development,5201785
Austria,Brazil,industrial development,5167098
Denmark,South Africa,industrial development,4467244
Belgium,Thailand,industrial development,3765246
Canada,Poland,industrial development,3662485
Spain,Colombia,industrial development,3329991
Switzerland,South Africa,industrial development,2665028
Spain,Chile,industrial development,2505456
Austria,Thailand,industrial development,2281844
Netherlands,Colombia,industrial development,2025344
Switzerland,Chile,industrial development,1984348
Spain,India,industrial development,1386496
Netherlands,South Africa,industrial development,1380782
United Kingdom,Colombia,industrial development,1214104
Sweden,South Africa,industrial development,1198432
Belgium,Brazil,industrial development,1152172
Spain,Brazil,industrial development,1110417
Korea,Thailand,industrial development,1096198
Sweden,Chile,industrial development,1084383
Switzerland,Brazil,industrial development,1034972
