country,year,net
Saudi Arabia,1977,540365522
Saudi Arabia,1983,-127373976
Saudi Arabia,1984,287513033
Saudi Arabia,1985,92545184
Saudi Arabia,1987,72707674
Kuwait,1993,25461230
Kuwait,1996,20769059
Kuwait,1998,373869
Kuwait,1978,103885863
Kuwait,1976,206494798
Kuwait,2001,-2824694
Kuwait,1992,-7400203071
Kuwait,1989,43493083
Kuwait,1988,13493275
Kuwait,1986,84167688
Kuwait,1984,27051193
Kuwait,1983,154970641
Kuwait,1982,181627819
Kuwait,1981,298485699
Kuwait,1979,59307807
Kuwait,1980,23153412
Kuwait,1977,86642765
Qatar,2007,104519053
Brazil,2008,-575721347
Brazil,2007,-424545761
Colombia,2007,-800215525
Colombia,2008,-1190047400
Estonia,2001,-23859692
Estonia,2002,-8009886
Hungary,2005,254145
Hungary,2007,-18986
Hungary,2008,67660
United States,1998,2460766389
United States,1980,6864224034
United States,1989,1065107732
United States,2002,4549554512
United States,1990,1722305682
United States,1993,4501838784
United States,1997,3423306503
United States,1982,3462490652
United States,1992,11399278504
United States,1994,8154319014
United States,1995,3392574370
United States,1984,2515278485
United States,1981,8124423748
United States,1985,2735617446
United States,1986,1334668057
United States,1987,1846214071
United States,1991,2887003516
United States,1983,1091122225
United States,1988,1051167154
United States,1996,4595800488
United States,2001,4136147099
United States,2000,6008166308
United States,1999,7962084321
Thailand,2007,-246616632
Liechtenstein,1981,-18065044
Liechtenstein,2001,264468
Liechtenstein,1982,734297
Liechtenstein,1997,104054
Liechtenstein,2005,442468
Liechtenstein,2004,216815
Liechtenstein,2002,137539
Slovak Republic,2005,326093
Liechtenstein,2006,121077
Liechtenstein,2000,380208
Liechtenstein,1998,98845
Liechtenstein,2008,71478
Liechtenstein,1996,141858
Liechtenstein,1990,299897
Liechtenstein,1993,124845
Liechtenstein,1994,86232
Liechtenstein,2003,544967
Liechtenstein,2007,199170
Liechtenstein,1983,63282
Liechtenstein,1989,11161
Monaco,2007,264319
Monaco,2008,557753
Chile,2002,-118741127
Chile,2006,-53778696
Chile,2003,-74552155
Chile,2005,-73365918
Chile,2004,-85966757
Chile,2007,-114884127
Chile,2008,-275373194
Monaco,2006,119315
Taiwan,1994,42972980
Taiwan,1999,-573709935
Saudi Arabia,1981,-278051399
Saudi Arabia,1978,250639787
Saudi Arabia,1980,-7954278
Saudi Arabia,1986,-520641
United Arab Emirates,1976,64911546
Belgium,2009,42809116
Japan,2009,2645297987
Austria,2009,7871776
Italy,2009,53936210
Germany,2009,1270803240
Sweden,2009,76554392
Luxembourg,2009,9324881
Spain,2009,238613474
Denmark,2009,6819444
France,2009,443827383
Norway,2009,237828698
Portugal,2009,2079818
Switzerland,2009,53471939
United Kingdom,2009,979674038
Finland,2009,64703548
Ireland,2009,21707708
Australia,2009,17680084
Canada,2009,74116591
United States,2009,1695864746
Korea,2009,168844005
Greece,2009,2070017
Netherlands,2009,107803997
New Zealand,2009,4720299
Korea,2006,331823583
Korea,2007,305841026
Korea,2008,57406444
Denmark,2008,16290834
Finland,2008,39238852
France,1999,195502185
United States,2004,1328167876
Denmark,1995,73451287
Netherlands,1998,127981057
Germany,2008,1168597647
Spain,2006,102707597
Japan,2004,2545515962
Canada,1996,240599471
United States,2007,1006928274
Spain,2005,81547019
Norway,1999,92238378
United States,2008,1715189257
Netherlands,2003,212985661
Austria,2004,46226742
Germany,2005,846945037
France,2001,621418995
France,2004,596317633
Finland,2005,50908114
Finland,2006,25383076
Belgium,1995,45999593
Italy,2005,69732388
Italy,2007,33580751
Japan,2003,2147321397
Norway,1996,66497399
Luxembourg,2007,8883735
Luxembourg,2008,9669591
Belgium,2005,48285276
Spain,2007,118856065
Canada,2002,-345356215
Norway,2006,324841794
Japan,2006,2542330417
Norway,2004,41531404
Norway,2005,83655835
Denmark,1997,79381953
United States,2006,1935937419
Switzerland,2004,61749696
Norway,2000,127714893
Spain,2001,71240556
Japan,2005,2566817614
United States,2005,1350566958
Spain,1998,56295291
Spain,2002,76217540
United Kingdom,1998,703712023
Italy,2008,38676392
Norway,2001,209376138
France,1996,310518112
United Kingdom,2007,1019400656
Germany,2003,717917759
Belgium,2000,32342289
Denmark,2003,57028037
Germany,2004,757827603
Norway,1998,57457846
