country,year,net,totalNet
India,1977,-3197135157,-1.3398E+11
India,1983,-2653699004,-1.3398E+11
India,1985,-1837835819,-1.3398E+11
India,1987,-4191375895,-1.3398E+11
India,1998,-2478951563,-1.3398E+11
India,1978,-2927325215,-1.3398E+11
India,1976,-2233586413,-1.3398E+11
India,1989,-3091093501,-1.3398E+11
India,1986,-3003947484,-1.3398E+11
India,1982,-2822105457,-1.3398E+11
India,1981,-3706661088,-1.3398E+11
India,2001,-2198367696,-1.3398E+11
India,1997,-4794906726,-1.3398E+11
India,1990,-2036236423,-1.3398E+11
India,1991,-3660869551,-1.3398E+11
India,1992,-5341953099,-1.3398E+11
India,1993,-1327287513,-1.3398E+11
India,1994,-4096778597,-1.3398E+11
India,1995,-2704173002,-1.3398E+11
India,1996,-4151165519,-1.3398E+11
India,1984,-4584531386,-1.3398E+11
India,1999,-1932216592,-1.3398E+11
India,1980,-2968245303,-1.3398E+11
India,2000,-1141656334,-1.3398E+11
India,1988,-3844238228,-1.3398E+11
India,2005,-3340560624,-1.3398E+11
India,2009,-3706828324,-1.3398E+11
India,2006,-4144135136,-1.3398E+11
India,2007,-5386224705,-1.3398E+11
India,2008,-5044559917,-1.3398E+11
India,2004,-2884182630,-1.3398E+11
India,2003,-2616814261,-1.3398E+11
India,2002,-2324315788,-1.3398E+11
India,1975,-3000656166,-1.3398E+11
India,1979,-1622748901,-1.3398E+11
India,1974,-3697747278,-1.3398E+11
India,1973,-2285256534,-1.3398E+11
India,2010,-3826639675,-1.3398E+11
India,2011,-3652445742,-1.3398E+11
India,2012,-4970365576,-1.3398E+11
India,2013,-4550646147,-1.3398E+11
Thailand,2007,-246616632,-49041291979
Thailand,2010,-560932861,-49041291979
Thailand,1976,-110042103,-49041291979
Thailand,1982,-1595007194,-49041291979
Thailand,1981,-1178204797,-49041291979
Thailand,1979,-1283439829,-49041291979
Thailand,1977,-715883953,-49041291979
Thailand,2002,-1205361664,-49041291979
Thailand,1990,-1790643316,-49041291979
Thailand,2001,-532323112,-49041291979
Thailand,2000,-1792837766,-49041291979
Thailand,1980,-902852253,-49041291979
Thailand,1984,-1135099078,-49041291979
Thailand,1987,-1016033769,-49041291979
Thailand,1989,-626032718,-49041291979
Thailand,1991,-1898189675,-49041291979
Thailand,1992,-1014335727,-49041291979
Thailand,1993,-3338548445,-49041291979
Thailand,1994,-1416098158,-49041291979
Thailand,1996,-1671334558,-49041291979
Thailand,1997,-6371021429,-49041291979
Thailand,1983,-1165432587,-49041291979
Thailand,1985,-1151123605,-49041291979
Thailand,1986,-762121484,-49041291979
Thailand,1988,-1297612686,-49041291979
Thailand,1998,-2437534353,-49041291979
Thailand,1995,-792655526,-49041291979
Thailand,1978,-859278853,-49041291979
Thailand,2009,-1038513059,-49041291979
Thailand,2006,-475487975,-49041291979
Thailand,2008,-938244893,-49041291979
Thailand,2004,-722232350,-49041291979
Thailand,2005,-750726362,-49041291979
Thailand,2003,-289796785,-49041291979
Thailand,1999,-3761639876,-49041291979
Thailand,1973,-206363405,-49041291979
Thailand,1974,-867668418,-49041291979
Thailand,1975,-333639956,-49041291979
Thailand,2011,-196842375,-49041291979
Thailand,2012,-333622409,-49041291979
Thailand,2013,-259915985,-49041291979
Brazil,2008,-575721347,-36606123638
Brazil,2007,-424545761,-36606123638
Brazil,2010,-1058295902,-36606123638
Brazil,1977,-501438883,-36606123638
Brazil,1989,-470795753,-36606123638
Brazil,1990,-546410160,-36606123638
Brazil,1980,-397591374,-36606123638
Brazil,1981,-1019510084,-36606123638
Brazil,1982,-577695039,-36606123638
Brazil,1983,-129429939,-36606123638
Brazil,1984,-643593148,-36606123638
Brazil,1985,-1150188786,-36606123638
Brazil,1986,-398238987,-36606123638
Brazil,1987,-688641987,-36606123638
Brazil,1988,-319508348,-36606123638
Brazil,1991,-1398521154,-36606123638
Brazil,1993,-726672442,-36606123638
Brazil,1994,-2807702721,-36606123638
Brazil,1995,-2573830958,-36606123638
Brazil,1996,-1902899155,-36606123638
Brazil,1997,-2033092975,-36606123638
Brazil,2002,-1545038937,-36606123638
Brazil,2001,-1574635711,-36606123638
Brazil,1998,-1758374210,-36606123638
Brazil,2000,-1106359401,-36606123638
Brazil,1999,-1319316622,-36606123638
Brazil,1992,-269771857,-36606123638
Brazil,2006,-473262403,-36606123638
Brazil,2009,-783901399,-36606123638
Brazil,2004,-646604536,-36606123638
Brazil,2005,-723697976,-36606123638
Brazil,2003,-779392718,-36606123638
Brazil,1979,-167462062,-36606123638
Brazil,1973,-312075045,-36606123638
Brazil,1976,-83580485,-36606123638
Brazil,1978,-151531351,-36606123638
Brazil,1975,-100725686,-36606123638
Brazil,1974,-306601048,-36606123638
Brazil,2011,-1013210831,-36606123638
Brazil,2012,-2443208137,-36606123638
Brazil,2013,-703048320,-36606123638
Colombia,2007,-800215525,-25530345512
Colombia,2008,-1190047400,-25530345512
Colombia,2010,-1128335815,-25530345512
Colombia,1982,-1228919949,-25530345512
Colombia,1990,-539309295,-25530345512
Colombia,1992,-492185858,-25530345512
Colombia,1993,-648542403,-25530345512
Colombia,1994,-303016912,-25530345512
Colombia,1995,-586866583,-25530345512
Colombia,1996,-1052281529,-25530345512
Colombia,1980,-257368296,-25530345512
Colombia,1981,-176100059,-25530345512
Colombia,1983,-110714529,-25530345512
Colombia,1984,-204495135,-25530345512
Colombia,1985,-835091486,-25530345512
Colombia,1988,-234020126,-25530345512
Colombia,1989,-200318505,-25530345512
Colombia,2000,-1899134643,-25530345512
Colombia,1986,-310212012,-25530345512
Colombia,1987,-74058995,-25530345512
Colombia,1991,-484986642,-25530345512
Colombia,1998,-407763235,-25530345512
Colombia,1999,-881928095,-25530345512
Colombia,2001,-585022135,-25530345512
Colombia,2002,-835264836,-25530345512
Colombia,2006,-1617817757,-25530345512
Colombia,2003,-1086177861,-25530345512
Colombia,2005,-1056910201,-25530345512
Colombia,2004,-951773147,-25530345512
Colombia,2009,-1279008966,-25530345512
Colombia,1997,-94226174,-25530345512
Colombia,1977,-67799905,-25530345512
Colombia,1973,-549944785,-25530345512
Colombia,1974,-203545814,-25530345512
Colombia,1976,-143082677,-25530345512
Colombia,1978,-54438681,-25530345512
Colombia,1979,-15388003,-25530345512
Colombia,1975,-145779156,-25530345512
Colombia,2011,-749156157,-25530345512
Colombia,2012,-1009768225,-25530345512
Colombia,2013,-1039328005,-25530345512
Poland,2013,403184,-24516822004
Poland,2001,-670468736,-24516822004
Poland,1993,-367250867,-24516822004
Poland,1980,-75000451,-24516822004
Poland,1992,-9141850218,-24516822004
Poland,1994,-431842731,-24516822004
Poland,1995,-3376022477,-24516822004
Poland,1996,-359200576,-24516822004
Poland,1997,-309290589,-24516822004
Poland,1990,-3069497876,-24516822004
Poland,1991,-326279481,-24516822004
Poland,1981,-35410,-24516822004
Poland,1982,-70326,-24516822004
Poland,2004,-428513747,-24516822004
Poland,2000,-632761107,-24516822004
Poland,2003,-492707038,-24516822004
Poland,2007,-54102,-24516822004
Poland,1983,-63282,-24516822004
Poland,1999,-377114427,-24516822004
Poland,2002,-479506516,-24516822004
Poland,1998,-338026840,-24516822004
Poland,1989,-2608739881,-24516822004
Poland,1985,-1014259163,-24516822004
Poland,1988,-11464751,-24516822004
Poland,1986,-7204596,-24516822004
Korea,2009,168844005,-23995275733
Korea,2006,331823583,-23995275733
Korea,2007,305841026,-23995275733
Korea,2008,57406444,-23995275733
Korea,2010,9946450,-23995275733
Korea,2011,11082508,-23995275733
Korea,2012,16780372,-23995275733
Korea,2013,397323332,-23995275733
Korea,1984,-891180603,-23995275733
Korea,2002,-657470006,-23995275733
Korea,2001,-864874549,-23995275733
Korea,2000,-444810035,-23995275733
Korea,1999,-5783774361,-23995275733
Korea,1980,-2625763424,-23995275733
Korea,1981,-1656173571,-23995275733
Korea,1983,-665624126,-23995275733
Korea,1985,-907605958,-23995275733
Korea,1996,-369583888,-23995275733
Korea,1997,-1019452888,-23995275733
Korea,1994,-1076359694,-23995275733
Korea,1988,-438174916,-23995275733
Korea,1989,-233488453,-23995275733
